Id,Name,DaysSigned,DaysMissed,Gender,State,Party,Constituency
3,Smt.  Sonia  Gandhi,134,127,0,Uttar Pradesh,INC,Rai Bareli
8,Shri  M. Veerappa  Moily,1,6,1,Karnataka,INC,Chikballapur
11,Shri  Ajit  Singh,90,123,1,Uttar Pradesh,RJD,Baghpat
12,Shri  Mallikarjun  Kharge,1,6,1,Karnataka,INC,Gulbarga
14,Shri  Paban Singh  Ghatowar,148,15,1,Assam,INC,Dibrugarh
17,Dr.  C. P.  Joshi,2,5,1,Rajasthan,INC,Bhilwara
24,Shri  V. Kishore Chandra S.  Deo,148,15,1,Andhra Pradesh,INC,Aruku
25,Shri  Beni Prasad  Verma,134,1,1,Uttar Pradesh,INC,Gonda
26,Shri  Dinsha  Patel,2,31,1,Gujarat,INC,Kheda
28,Shri  M.M.  Pallam  Raju,1,6,1,Andhra Pradesh,INC,Kakinada
29,Shri  Harish  Rawat,263,24,1,Uttarakhand,INC,Hardwar
30,Smt.  Chandresh  Kumari,213,74,0,Rajasthan,INC,Jodhpur
32,Prof.  K.V.  Thomas,11,22,1,Kerala,INC,Ernakulam
35,Shri  Bharatbhai Madhavsinh  Solanki,3,4,1,Gujarat,INC,
38,Shri  Jitender  Singh,141,107,1,Haryana,INC,Sonipat
39,Shri  Manish  Tewari,237,30,1,Punjab,INC,Ludhiana
41,Shri  Mullappally  Ramachandran,8,25,1,Kerala,INC,Vadakara
43,Smt.  D.  Purandeswari,1,6,0,Andhra Pradesh,INC,Visakhapatnam
46,Shri  S.S.  Palanimanickam,2,5,1,Tamil Nadu,DMK,Thanjavur
48,Smt.    Preneet Kaur,7,26,0,Punjab,INC,Patiala
51,Shri  S.  Gandhiselvan,1,6,1,Tamil Nadu,DMK,Namakkal
52,Dr.  Tusharbhai   A.  Chaudhari,57,87,1,Gujarat,INC,Bardoli
53,Shri  Pratik  Patil,204,83,1,Maharashtra,INC,Sangli
54,Shri  R.P.N.  Singh,5,28,1,Uttar Pradesh,INC,Kushinagar
55,Dr.  Shashi  Tharoor,192,95,1,Kerala,INC,Thiruvananthapuram
56,Shri  Pradeep  Jain   Aditya,3,51,1,Uttar Pradesh,INC,Jhansi
57,Shri  K. C.  Venugopal,114,21,1,Kerala,INC,Alappuzha
58,Dr.  Charan Das  Mahant,152,11,1,Chattisgarh,INC,Korba
59,Shri  Milind  Deora,143,20,1,Maharashtra,INC,Mumbai South
60,Shri    Kodikunnil  Suresh,218,49,1,Kerala,INC,Mavelikkara
62,Shri  K. J.S.P.  Reddy,147,140,1,Andhra Pradesh,INC,
63,Shri  A.H.   Khan  Choudhury,214,73,1,West Bengal,INC,Maldaha Dakshin
64,Shri  Adhir Ranjan  Chowdhury,220,47,1,West Bengal,INC,Baharampur
65,Smt.  Ranee  Narah,238,49,0,Assam,INC,Lakhimpur
66,Shri   Sarvey  Sathyanarayana,193,74,1,Andhra Pradesh,INC,
67,Shri  Ninong  Ering,254,33,1,Arunachal Pradesh,INC,
68,Smt.  Deepa  Dasmunsi,221,66,0,West Bengal,INC,
69,Shri  P.  Balram  Naik,182,85,1,Andhra Pradesh,INC,
70,Dr.  Krupa Rani  Killi,239,48,0,Andhra Pradesh,INC,
71,Shri  Lal Chand  Kataria,247,40,1,Rajasthan,INC,
72,Shri  Sandeep  Dikshit,264,23,1,NCT of Delhi,INC,
73,Shri  J.M.  Aaron Rashid,193,94,1,Tamil Nadu,INC,
74,Shri  Arun  Yadav,88,90,1,Madhya Pradesh,INC,
75,Shri  Naveen  Jindal,234,53,1,Haryana,INC,
76,Shri  Madhu Goud  Yaskhi,218,69,1,Andhra Pradesh,INC,
77,Shri  Satpal  Maharaj,246,41,1,Uttarakhand,INC,
78,Shri  Vijay  Bahuguna,708,310,1,Meghalaya,INC,
79,Shri  Madan Lal  Sharma,261,26,1,Jammu and Kashmir,INC,
80,Chaudhary  Lal  Singh,246,41,1,Jammu and Kashmir,INC,
81,Shri  Mohammed  Azharuddin,216,71,1,Uttar Pradesh,INC,
82,Shri  Hamdullah  Sayeed,238,49,1,Lakshadweep,INC,
83,Shri  Ashok  Tanwar,232,55,1,Haryana,INC,
84,Shri  K.C.  Singh Baba,180,107,1,Uttarakhand,INC,
85,Shri  Vijay Inder  Singla,245,42,1,Punjab,INC,
88,Shri  Sabbam  Hari,220,67,1,Andhra Pradesh,INC,
89,Shri  Ravneet  Singh,225,39,1,Punjab,INC,
90,Shri  Mahabal  Mishra,270,17,1,NCT of Delhi,INC,
91,Shri  Ramesh  Kumar,286,1,1,NCT of Delhi,INC,
92,Shri  Ismail Hussain,266,21,1,Assam,INC,
93,Shri  Mohammad Asrarul  Haque,272,15,1,Bihar,INC,
94,Shri  Takam  Sanjoy,185,102,1,Arunachal Pradesh,INC,
95,Shri  Mahadev  Singh,21,6,1,Rajasthan,INC,
97,Shri  P.  Viswanathan,244,43,1,Tamil Nadu,INC,
98,Shri  Sheesh Ram  Ola,270,17,1,Rajasthan,INC,
99,Shri  T.R.  Baalu,236,51,1,Tamil Nadu,DMK,
100,Shri  Vilasrao Baburao  Muttemwar,231,56,1,Maharashtra,INC,
101,Shri  Manikrao Hodlya  Gavit,254,33,1,Maharashtra,INC,
102,Shri  Suresh  Kalmadi,124,137,1,Maharashtra,INC,
104,Shri  A. Sai Prathap,112,19,1,Andhra Pradesh,INC,Rajampet
106,Dr.    Chinta Mohan,226,61,1,Andhra Pradesh,INC,Tirupathi
107,Shri  Biren Singh  Engti,274,13,1,Assam,INC,
108,Dr.  Kavuri Samba Siva  Rao,220,47,1,Andhra Pradesh,INC,Eluru
110,Shri  Jai Prakash  Agarwal,281,6,1,NCT of Delhi,INC,
111,Shri  Virbhadra  Singh,36,10,1,Himachal Pradesh,INC,
112,Shri  Datta  Meghe,252,35,1,Maharashtra,INC,
113,Shri   Rayapati S.  Rao,188,99,1,Andhra Pradesh,INC,Guntur
115,Dr.  Manda  Jagannath,222,39,1,Andhra Pradesh,INC,Nagarkurnool
116,Shri  A. Venkatarami  Reddy,221,66,1,Andhra Pradesh,INC,Anantapur
117,Shri  Somabhai Gandalal Koli  Patel,235,52,1,Gujarat,INC,
118,Shri  Avtar Singh  Bhadana,138,149,1,Haryana,INC,
119,Shri  P.C.  Chacko,260,27,1,Kerala,INC,Thrissur
120,Dr.  Girija  Vyas,257,30,0,Rajasthan,INC,Chittorgarh
121,Shri  Inderjit Singh  Rao,233,54,1,Haryana,INC,Gurgaon
122,Shri  Mukul  Wasnik,12,15,1,Maharashtra,INC,Ramtek
123,Shri  Sanjay  Nirupam,264,23,1,Maharashtra,INC,Mumbai North
124,Shri  Dip  Gogoi,228,59,1,Assam,INC,Kaliabor
126,Shri  Francisco  Sardinha,270,17,1,Goa,INC,South Goa
127,Shri  Magunta Srinivasulu  Reddy,166,121,1,Andhra Pradesh,INC,Ongole
128,Shri  N.S.V.  Chitthan,262,25,1,Tamil Nadu,INC,Dindigul
129,Dr.  Arvind Kumar  Sharma,206,81,1,Haryana,INC,
130,Dr.  Sanjay  Singh,225,62,1,Uttar Pradesh,INC,
131,Shri  Jayant  Chaudhary,242,45,1,Uttar Pradesh,RLD,
132,Shri  Bhaskarrao  Patil  Khatgaonkar,215,72,1,Maharashtra,INC,
133,Shri  Deepender Singh  Hooda,232,55,1,Haryana,INC,
134,Shri  Bhakta Charan  Das,256,31,1,Orissa,INC,
135,Shri  Tarachand  Bhagora,224,63,1,Rajasthan,INC,
136,Km.  Agatha K.  Sangma,16,69,0,Meghalaya,INC,
137,Rajkumari  Ratna  Singh,244,43,0,Uttar Pradesh,INC,
138,Smt.  Priya  Dutt,171,116,0,Maharashtra,INC,
139,Smt.  Santosh  Chowdhary,247,40,0,Punjab,INC,
140,Sardar  Sukhdev  Singh    Libra,280,7,1,Punjab,INC,
141,Shri  Gajendra Singh  Rajukhedi,247,40,1,Madhya Pradesh,INC,
142,Shri  Sanjay Singh  Chauhan,255,32,1,Uttar Pradesh,RLD,
143,Shri  Anjan Kumar  Yadav. M,204,83,1,Andhra Pradesh,INC,Secunderabad
144,Shri  Gutha  Sukender Reddy,179,82,1,Andhra Pradesh,INC,Nalgonda
145,Shri  G.V.  Harsha Kumar,233,54,1,Andhra Pradesh,INC,Amalapuram
146,Shri  Aruna Kumar  Vundavalli,287,0,1,Andhra Pradesh,INC,Rajahmundry
147,Shri  S.P.Y.  Reddy,132,155,1,Andhra Pradesh,INC,Nandyal
148,Shri  Lalit  Mohan  Suklabaidya,273,14,1,Assam,INC,
149,Shri  Vikrambhai Arjanbhai  Maadam    Ahir,209,78,1,Gujarat,INC,
150,Shri    Lagadapati   Rajagopal,221,66,1,Andhra Pradesh,INC,Vijayawada
151,Smt.    Botcha Jhansi Lakshmi,261,26,0,Andhra Pradesh,INC,Vizianagaram
153,Shri    Bapiraju  Kanumuru,261,26,1,Andhra Pradesh,INC,Narasapur
154,Shri  Kishan V.  Patel,234,53,1,Gujarat,INC,
155,Shri  Eknath  Gaikwad,281,6,1,Maharashtra,INC,
156,Dr.  Thokchom  Meinya,284,3,1,Manipur,INC,
157,Shri  M.  Krishnaswamy,257,30,1,Tamil Nadu,INC,
158,Dr.  Nirmal  Khatri,275,12,1,Uttar Pradesh,INC,
160,Smt.  Shruti  Choudhry,232,55,0,Haryana,INC,
161,Dr.  Prabha Kishore  Taviad,269,18,0,Gujarat,INC,
162,Smt.  Rajesh Nandini  Singh,253,34,0,Madhya Pradesh,INC,
163,Ms.  Mausam  Noor,209,78,0,West Bengal,INC,
164,Smt.  Sarika  D.S. Baghel,271,16,0,Uttar Pradesh,RLD,
165,Smt.  Annu  Tandon,269,18,0,Uttar Pradesh,INC,
166,Smt.  Meenakshi  Natrajan,250,37,0,Madhya Pradesh,INC,
167,Dr.  Jyoti  Mirdha,269,18,0,Rajasthan,INC,
168,Shri  Devendra  Nagpal,162,125,1,Uttar Pradesh,RLD,
169,Shri  Manicka  Tagore,260,27,1,Tamil Nadu,INC,
170,Shri  Prabhakar  Ponnam,247,14,1,Andhra Pradesh,INC,
171,Shri  Sajjan Singh  Verma,254,33,1,Madhya Pradesh,INC,
172,Shri  Abdul Mannan  Hossain,170,117,1,West Bengal,INC,
173,Shri  S.  Alagiri,203,84,1,Tamil Nadu,INC,
174,Shri  Basori Singh  Masram,248,39,1,Madhya Pradesh,INC,
175,Shri  Kuvarjibhai Mohanbhai  Bavalia,185,102,1,Gujarat,INC,
176,Shri   Vitthalbhai  Harnsrajbhai   Radadiya,74,213,1,Gujarat,INC,
177,Dr.  G.  Vivekanand,193,68,1,Andhra Pradesh,INC,
178,Shri  Suresh Kumar  Shetkar,222,65,1,Andhra Pradesh,INC,
179,Shri  Mukeshkumar  Bheiravdanji  Gadhvi,231,56,1,Gujarat,INC,
180,Shri  Jagdish  Thakor,170,117,1,Gujarat,INC,
181,Shri  Adagooru  Vishwanath,192,95,1,Karnataka,INC,
182,Shri  R.  Dhruvanarayana,228,59,1,Karnataka,INC,
183,Shri  K.  Sudhakaran,190,97,1,Kerala,INC,Kannur
185,Shri  M. K.  Raghavan,220,67,1,Kerala,INC,Kozhikode
186,Shri  K. P.  Dhanapalan,287,0,1,Kerala,INC,Chalakudy
187,Shri  Dara Singh  Chauhan,262,25,1,Uttar Pradesh,BSP,
188,Shri    Lalu Prasad,220,67,1,Bihar,RJD,
190,Shri  T.K.S.  Elangovan,268,19,1,Tamil Nadu,DMK,
191,Shri  Sudip  Bandyopadhyay,164,19,1,West Bengal,AITC,
192,Smt.  Supriya  Sule,243,44,0,Maharashtra,NCP,
193,Shri   Udayanraje  Bhonsle,147,140,1,Maharashtra,NCP,
194,Shri  Sameer  Bhujbal,194,93,1,Maharashtra,NCP,
195,Shri  D.  Venugopal,178,109,1,Tamil Nadu,AIADMK,
196,Shri  Kalyan  Banerjee,210,77,1,West Bengal,AITC,
197,Shri  A.K.S.  Vijayan,156,131,1,Tamil Nadu,DMK,
198,Shri  E.G.  Sugavanam,162,125,1,Tamil Nadu,DMK,
199,Shri    Adhi Sankar,159,128,1,Tamil Nadu,DMK,
200,Dr.  Sanjeev Ganesh  Naik,268,19,1,Maharashtra,NCP,
201,Shri  Asaduddin  Owaisi,195,92,1,Andhra Pradesh,AIMIM,Hyderabad
202,Shri  Sansuma Khunggur  Bwiswmuthiary,180,107,1,Assam,BPF,
203,Dr.  Raghuvansh Prasad  Singh,284,3,1,Bihar,RJD,
204,Shri  Hassan  Khan,272,15,1,Jammu and Kashmir,IND,
205,Shri  Sadashivrao Dadoba  Mandlik,142,145,1,Maharashtra,IND,
206,Shri  R.  Thamaraiselvan,236,51,1,Tamil Nadu,DMK,
207,Shri    Abdul Rahman,193,94,1,Tamil Nadu,DMK,
208,Shri  Somendranath  Mitra,142,145,1,West Bengal,AITC,
209,Shri  Sisir Kumar  Adhikari,12,15,1,West Bengal,AITC,
210,Shri  Badruddin  Ajmal,146,141,1,Assam,AUDF,
211,Shri  Babu Lal  Marandi,83,204,1,Jharkhand,JVMP,
212,Shri  Mirza Mehboob  Beg,245,42,1,Jammu and Kashmir,JKNC,
213,Shri  Jagdambika  Pal,263,24,1,Uttar Pradesh,INC,
214,Shri  N.Dharam  Singh,200,87,1,Karnataka,INC,
215,Shri  H.D.  Kumaraswamy,99,170,1,Karnataka,JDS,
216,Shri  Sultan  Ahmed,17,36,1,West Bengal,AITC,
217,Dr.  Kakoli Ghosh  Dastidar,202,85,1,West Bengal,AITC,
218,Shri  K. R. G.  Reddy,180,81,1,Andhra Pradesh,INC,Bhongir
219,Shri  Rajaiah  Siricilla,232,29,1,Andhra Pradesh,INC,Warangal
220,Shri  Jitendra  Singh Malik,198,89,1,Rajasthan,INC,
221,Shri  P.L.  Punia,283,4,1,Uttar Pradesh,INC,
222,Shri  Kamal  Kishor   Commando,274,13,1,Uttar Pradesh,INC,
223,Dr.  Vinay Kumar  Panday "Vinnu",244,43,1,Uttar Pradesh,INC,
224,Shri  Harsh  Vardhan,235,52,1,Uttar Pradesh,INC,
225,Shri  Praveen Singh  Aron,206,81,1,Uttar Pradesh,INC,
226,Shri  Pradeep  Tamta,275,12,1,Uttarakhand,INC,
227,Shri  S. S.  Ramasubbu,280,7,1,Tamil Nadu,INC,
228,Shri  Sharief Ud Din  Shariq,253,34,1,Jammu and Kashmir,JKNC,
229,Shri  Mahesh  Joshi,272,15,1,Rajasthan,INC,
230,Shri  Ijyaraj  Singh,252,9,1,Rajasthan,INC,
231,Shri  E. T. Muhammed  Basheer,215,72,1,Kerala,MLKSC,
232,Shri  Gopal  Singh  Shekhawat,255,32,1,Rajasthan,INC,
233,Shri  Raghuvir Singh  Meena,235,52,1,Rajasthan,INC,
234,Shri  Harish  Choudhary,249,38,1,Rajasthan,INC,
235,Shri  Badri Ram  Jakhar,256,31,1,Rajasthan,INC,
236,Shri  Khiladi Lal  Bairwa,266,21,1,Rajasthan,INC,
237,Shri  Ratan  Singh,275,12,1,Rajasthan,INC,
238,Shri  Raja Ram  Pal,260,27,1,Uttar Pradesh,INC,
239,Shri  Bharat Ram  Meghwal,256,31,1,Rajasthan,INC,
240,Shri  Zafar Ali  Naqvi,230,57,1,Uttar Pradesh,INC,
243,Shri  Mohinder Singh  Kaypee,254,33,1,Punjab,INC,
244,Shri  Partap Singh  Bajwa,244,43,1,Punjab,INC,
245,Adv.  P. T.  Thomas,287,0,1,Kerala,INC,
246,Shri  M. I.  Shanavas,226,61,1,Kerala,INC,Wayanad
247,Shri  Anto  Antony,253,34,1,Kerala,INC,
248,Shri  N.  Peethambarakurup,247,40,1,Kerala,INC,
249,Shri  Om Prakash  Yadav,207,80,1,Bihar,IND,
250,Shri    Sivakumar @  Ritheesh,113,174,1,Tamil Nadu,DMK,
251,Shri  Sanjay Dina  Patil,247,40,1,Maharashtra,NCP,
252,Shri  Narayan Singh  Amlabe,272,15,1,Madhya Pradesh,INC,
253,Shri  Jose K.  Mani,243,44,1,Kerala,KCM,
254,Shri  Kameshwar  Baitha,104,82,1,Jharkhand,JMM,
255,Shri  N. Cheluvaraya Swamy,174,113,1,Karnataka,BJP,
256,Shri  Thol Thirumaavalavan,134,125,1,Tamil Nadu,VCK,
257,Shri  Prem Das  Rai,257,30,1,Sikkim,SDF,
258,Shri  C. M.  Chang,262,25,1,Nagaland,NPF,
259,Shri   Baliram  Jadhav,267,20,1,Maharashtra,BVA,
260,Shri  Jagada Nand  Singh,272,15,1,Bihar,RJD,
261,Shri  Uma Shanaker  Singh,249,38,1,Bihar,RJD,
262,Smt.  J. Helen Davidson,229,58,0,Tamil Nadu,DMK,
263,Shri  S. R.  Jeyadurai,165,122,1,Tamil Nadu,DMK,
264,Shri  Uday Pratap  Singh,238,49,1,Madhya Pradesh,INC,
265,Shri  Premchand  Guddu,229,58,1,Madhya Pradesh,INC,
266,Shri  Marotrao  Sainuji   Kowase,246,41,1,Maharashtra,INC,
267,Shri   Suresh  Kashinath   Taware,245,42,1,Maharashtra,INC,
268,Shri  Jaywant  Gangaram   Awale,263,24,1,Maharashtra,INC,
269,Dr.  Nilesh N.  Rane,209,78,1,Maharashtra,INC,
270,Shri  Thangso  Baite,285,2,1,Manipur,INC,
271,Shri  Pradeep  Majhi,175,112,1,Orissa,INC,
272,Shri  Amarnath  Pradhan,245,42,1,Orissa,INC,
273,Shri  Hemanand  Biswal,255,32,1,Orissa,INC,
274,Shri  Sanjay  Bhoi,245,42,1,Orissa,INC,
275,Shri  C. L.  Ruala,279,8,1,Mizoram,INC,
276,Shri  Mulayam Singh  Yadav,243,44,1,Uttar Pradesh,SP,
277,Shri  H.D.  Devegowda,199,88,1,Karnataka,JDS,
278,Kunwar  Rewati Raman  Singh,251,36,1,Uttar Pradesh,SP,
279,Dr.    Bali Ram,269,18,1,Uttar Pradesh,BSP,
280,Shri  Gurudas  Das Gupta,250,37,1,West Bengal,CPI,
282,Prof.  Saugata  Ray,76,30,1,West Bengal,AITC,
283,Shri  Shailendra  Kumar,277,10,1,Uttar Pradesh,SP,
284,Shri  Bhisma  Shankar Alias Kushal Tiwari,228,59,1,Uttar Pradesh,BSP,
285,Dr.  M.  Thambidurai,240,47,1,Tamil Nadu,AIADMK,
286,Shri  Akhilesh  Yadav,146,127,1,Uttar Pradesh,SP,
287,Shri  Ashok Kumar  Rawat,247,40,1,Uttar Pradesh,BSP,
288,Dr.  Shafiqur Rahman  Barq,282,5,1,Uttar Pradesh,BSP,
289,Shri  Baju Ban  Riyan,246,41,1,Tripura,CPIM,
290,Shri  S.  Semmalai,244,43,1,Tamil Nadu,AIADMK,
291,Shri  Kalyan  Singh,141,118,1,Uttar Pradesh,IND,
292,Shri  Brij Bhushan Sharan  Singh,245,42,1,Uttar Pradesh,SP,
293,Shri  Tufani  Saroj,253,34,1,Uttar Pradesh,SP,
294,Shri  Jagdish Singh  Rana,244,43,1,Uttar Pradesh,BSP,Saharanpur
295,Shri  Vijay Bahadur  Singh,243,44,1,Uttar Pradesh,BSP,
296,Dr.  Ram Chandra  Dome,238,49,1,West Bengal,CPIM,
297,Shri  Khagen  Das,219,68,1,Tripura,CPIM,
298,Shri  O. S.  Manian,179,108,1,Tamil Nadu,AIADMK,
299,Shri  R.K. Singh  Patel,241,46,1,Uttar Pradesh,SP,
